Quarterly Income and Expense of FDIC-Insured Commercial Banks and Savings Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Domestic office deposits,"41,583 ","48,795 ","46,977 ","59,070 ","48,073 ","47,402 ","46,736 ","46,130 ","45,653 ","44,628 ","43,341 ","41,480 ","39,907 ","40,080 ","41,612 ","43,555 ","44,342 ","44,835 ","46,309 ","49,084 ","49,613 ","52,881 ","53,866 ","53,926 ","50,510 ","50,416 ","51,034 ","50,803 ","47,512 ","44,809 ","42,769 ","39,951 ","34,289 ","31,124 ","28,245 ","25,396 ","23,542 ","22,510 ","22,019 ","21,298 ","20,127 ","20,610 ","21,956 ","23,583 ","25,649 ","28,178 ","29,370 ","29,514 ","28,757 ","28,277 ","28,882 ","29,372 ","29,141 ","30,050 ","31,183 ","31,641 ","31,224 ","31,304 ","31,458 ","31,254 ","29,558 ","29,312 ","30,052 ","31,393 ","32,846 ","35,133 ","38,175 ","40,224 ","39,290 ","36,377 ","33,148 ","27,699 ","23,470 ","22,609 ","22,347 ","20,615 ","18,693 ","17,844 ","16,549 ","15,494 ","15,505 ","15,372 ","16,727 ","18,596 ","21,060 ","24,340 ","28,077 ","31,983 ","35,397 ","40,176 ","45,327 ","47,388 ","48,852 ","50,328 ","51,410 ","51,129 ","44,851 ","36,226 ","33,393 ","31,190 ","26,463 ","23,844 ","21,343 ","19,026 ","16,512 ","15,379 ","14,422 ","13,291 ","12,112 ","11,478 ","10,471 ","9,919 ","9,098 ","8,754 ","8,439 ","7,952 ","7,303 ","6,946 ","6,628 ","6,352 ","6,010 ","5,974 ","6,038 ","6,052 ","6,053 ","6,240 ","6,119 ","6,591 ","6,836 ","7,191 ","7,492 ","7,875 ","8,507 ","9,529 ","11,404 ","12,449 ","14,087 ","16,982 ","20,161 ","23,731 ","26,569 ","28,193 ","29,258 ","25,907 ","22,752 ","13,413 ","10,454 ","8,510 ","7,069 ","6,269 ","5,768 ","5,447 ","5,335 ","8,759 ","22,988 ","41,945 ","58,921 ","73,833 ","87,151 ","96,440 "
  Foreign office deposits,"8,291 ","9,001 ","9,567 ","8,924 ","7,873 ","7,890 ","7,202 ","7,164 ","6,979 ","6,224 ","5,829 ","5,489 ","5,952 ","6,510 ","6,498 ","7,073 ","6,633 ","6,820 ","7,612 ","7,445 ","7,712 ","8,737 ","8,484 ","9,179 ","8,828 ","8,378 ","8,602 ","8,280 ","7,001 ","6,107 ","5,926 ","6,145 ","5,739 ","5,270 ","5,452 ","4,952 ","4,885 ","4,859 ","5,090 ","5,610 ","4,635 ","5,186 ","4,812 ","5,610 ","6,458 ","6,575 ","6,465 ","6,491 ","6,331 ","6,038 ","5,981 ","6,139 ","6,148 ","6,557 ","6,699 ","7,144 ","7,304 ","7,288 ","7,975 ","7,423 ","7,086 ","6,701 ","6,556 ","7,191 ","8,097 ","9,065 ","9,667 ","9,923 ","8,902 ","7,317 ","6,459 ","2,889 ","3,068 ","4,149 ","3,906 ","2,980 ","2,796 ","2,752 ","2,608 ","2,486 ","2,792 ","2,991 ","3,624 ","3,802 ","4,719 ","5,295 ","6,414 ","7,370 ","8,191 ","9,571 ","10,847 ","11,714 ","12,250 ","13,094 ","14,660 ","14,459 ","11,561 ","9,488 ","9,241 ","5,507 ","2,896 ","2,661 ","2,230 ","1,284 ","1,964 ","2,052 ","2,089 ","2,407 ","2,400 ","2,836 ","2,698 ","2,182 ","2,086 ","2,055 ","1,909 ","1,835 ","1,746 ","1,639 ","1,581 ","1,512 ","1,499 ","1,501 ","1,486 ","1,205 ","1,270 ","1,181 ","1,137 ","1,162 ","1,141 ","1,181 ","1,184 ","1,123 ","1,280 ","1,457 ","1,660 ","1,715 ","1,772 ","1,994 ","2,376 ","2,735 ","2,975 ","3,093 ","2,930 ","2,456 ","1,932 ",523 ,299 ,216 ,114 ,112 ,171 ,220 ,381 ,991 ,"2,977 ","5,834 ","7,731 ","9,164 ","10,360 ","11,546 "
  Federal funds purchased,"4,531 ","5,091 ","5,356 ","4,928 ","4,268 ","4,035 ","4,085 ","4,510 ","4,462 ","4,041 ","3,816 ","3,954 ","3,930 ","3,948 ","4,277 ","4,350 ","4,362 ","4,627 ","5,155 ","5,569 ","6,162 ","6,609 ","6,433 ","6,729 ","6,036 ","5,905 ","5,973 ","5,507 ","4,304 ","3,788 ","3,573 ","3,148 ","2,673 ","2,528 ","2,139 ","2,189 ","2,071 ","2,109 ","2,228 ","2,314 ","2,343 ","2,963 ","3,524 ","4,154 ","4,646 ","4,896 ","4,907 ","4,873 ","4,490 ","4,365 ","4,315 ","4,415 ","5,185 ","5,109 ","5,258 ","5,802 ","5,924 ","5,628 ","5,926 ","5,744 ","5,399 ","5,393 ","5,495 ","6,082 ","6,529 ","7,199 ","7,405 ","7,544 ","6,808 ","5,769 ","4,987 ","3,275 ","2,722 ","2,834 ","2,815 ","2,699 ","2,424 ","2,362 ","2,025 ","1,838 ","2,033 ","2,306 ","2,844 ","2,850 ","3,906 ","4,527 ","5,658 ","6,702 ","7,625 ","8,695 ","9,482 ","9,752 ","9,755 ","10,209 ","9,992 ","9,333 ","7,262 ","5,505 ","5,252 ","2,730 ","1,500 ","1,227 ","1,192 ",943 ,841 ,811 ,646 ,"1,372 ",946 ,978 ,689 ,703 ,821 ,798 ,769 ,721 ,711 ,674 ,582 ,600 ,566 ,541 ,563 ,502 ,469 ,467 ,442 ,345 ,467 ,467 ,401 ,362 ,366 ,493 ,645 ,675 ,770 ,964 ,"1,053 ","1,323 ","1,505 ","1,636 ","1,673 ","1,314 ","1,103 ",231 ,181 ,97 ,77 ,99 ,101 ,81 ,126 ,506 ,"1,505 ","2,804 ","4,233 ","6,741 ","6,942 ","7,821 "
  Trading liabilities and other borrowed money,"4,442 ","5,046 ","5,822 ","5,964 ","5,379 ","5,540 ","6,045 ","6,035 ","6,321 ","5,772 ","5,772 ","5,966 ","6,706 ","7,654 ","7,801 ","8,792 ","8,712 ","8,974 ","9,812 ","10,726 ","11,468 ","12,413 ","12,546 ","11,971 ","11,491 ","8,764 ","8,400 ","8,403 ","6,943 ","5,770 ","5,569 ","5,620 ","5,030 ","4,954 ","4,672 ","4,903 ","4,944 ","5,019 ","5,742 ","5,844 ","5,753 ","6,580 ","5,365 ","6,396 ","7,428 ","7,726 ","8,009 ","8,194 ","7,951 ","7,809 ","8,144 ","8,597 ","7,816 ","8,563 ","8,735 ","9,249 ","9,298 ","9,982 ","10,266 ","9,721 ","10,188 ","10,248 ","11,386 ","13,537 ","13,440 ","14,676 ","15,898 ","15,456 ","15,043 ","13,190 ","11,727 ","9,465 ","8,839 ","9,224 ","9,054 ","8,446 ","7,929 ","7,879 ","7,402 ","7,653 ","7,782 ","7,781 ","8,604 ","8,971 ","10,437 ","11,694 ","12,829 ","14,128 ","15,259 ","16,582 ","17,847 ","17,966 ","16,472 ","17,990 ","18,481 ","19,579 ","17,670 ","14,974 ","13,937 ","13,024 ","10,122 ","9,169 ","8,438 ","7,933 ","8,690 ","8,156 ","7,537 ","7,272 ","6,651 ","6,320 ","5,738 ","5,636 ","4,869 ","4,567 ","4,160 ","3,959 ","3,654 ","3,609 ","3,471 ","3,340 ","3,165 ","3,266 ","3,056 ","3,093 ","3,095 ","3,229 ","3,164 ","4,047 ","3,781 ","3,914 ","4,081 ","4,249 ","4,570 ","4,880 ","5,315 ","5,525 ","6,138 ","7,009 ","7,460 ","8,052 ","8,115 ","7,823 ","7,308 ","6,327 ","5,652 ","3,869 ","2,880 ","2,518 ","2,174 ","2,248 ","2,137 ","2,027 ","2,083 ","2,994 ","5,781 ","10,289 ","13,408 ","17,580 ","17,269 ","17,845 "
  Subordinated notes and debentures,178 ,247 ,270 ,286 ,313 ,335 ,354 ,374 ,401 ,412 ,422 ,486 ,466 ,511 ,516 ,469 ,514 ,494 ,526 ,537 ,555 ,565 ,603 ,589 ,564 ,544 ,568 ,574 ,661 ,602 ,601 ,617 ,534 ,511 ,592 ,571 ,592 ,593 ,635 ,625 ,620 ,658 ,685 ,750 ,821 ,854 ,855 ,905 ,889 ,888 ,999 ,993 ,"1,024 ","1,004 ","1,103 ","1,120 ","1,267 ","1,181 ","1,295 ","1,269 ","1,238 ","1,217 ","1,301 ","1,348 ","1,378 ","1,485 ","1,584 ","1,666 ","1,582 ","1,450 ","1,416 ","1,281 ","1,170 ","1,164 ","1,177 ","1,192 ","1,140 ","1,135 ","1,132 ","1,120 ","1,168 ","1,192 ","1,307 ","1,576 ","1,581 ","1,718 ","1,790 ","2,021 ","2,079 ","2,253 ","2,376 ","2,419 ","2,436 ","2,509 ","2,672 ","2,636 ","2,537 ","2,111 ","1,786 ","1,930 ","1,630 ","1,565 ","1,335 ","1,284 ","1,085 ","1,058 ","1,179 ","1,043 ","1,038 ",943 ,921 ,911 ,941 ,876 ,815 ,787 ,809 ,796 ,798 ,732 ,697 ,694 ,698 ,699 ,707 ,671 ,683 ,662 ,721 ,732 ,710 ,746 ,699 ,715 ,686 ,646 ,659 ,701 ,706 ,716 ,748 ,716 ,694 ,665 ,596 ,514 ,461 ,455 ,459 ,429 ,432 ,431 ,433 ,484 ,624 ,722 ,817 ,832 ,861 ,866 
Net interest income,"20,876 ","23,568 ","22,446 ","24,498 ","24,868 ","26,657 ","27,623 ","29,037 ","28,881 ","29,304 ","29,498 ","30,688 ","30,710 ","31,555 ","31,683 ","32,149 ","31,310 ","32,199 ","33,149 ","36,193 ","34,620 ","34,033 ","33,418 ","34,980 ","34,886 ","35,213 ","35,610 ","36,004 ","36,452 ","37,379 ","38,216 ","38,924 ","40,457 ","41,308 ","42,315 ","43,335 ","42,824 ","43,132 ","43,340 ","43,863 ","43,069 ","44,354 ","45,317 ","45,389 ","45,023 ","45,642 ","46,706 ","47,175 ","47,504 ","48,222 ","49,268 ","49,947 ","50,100 ","51,326 ","52,057 ","52,344 ","52,028 ","53,194 ","53,835 ","54,482 ","55,218 ","55,846 ","57,012 ","56,987 ","58,128 ","59,015 ","59,317 ","59,687 ","60,379 ","62,295 ","63,781 ","67,748 ","69,015 ","69,032 ","69,875 ","70,306 ","69,889 ","70,554 ","70,463 ","72,599 ","73,768 ","75,444 ","77,019 ","78,466 ","78,212 ","79,147 ","80,934 ","80,800 ","83,184 ","85,709 ","85,706 ","82,343 ","86,445 ","88,396 ","90,860 ","92,492 ","94,694 ","96,562 ","95,127 ","96,992 ","99,867 ","99,398 ","99,642 ","100,602 ","109,435 ","107,748 ","107,610 ","106,433 ","106,242 ","105,913 ","105,229 ","107,174 ","106,229 ","105,312 ","105,643 ","104,941 ","103,836 ","103,426 ","104,505 ","106,384 ","104,178 ","105,440 ","106,965 ","107,480 ","105,689 ","108,274 ","108,739 ","110,929 ","112,300 ","113,384 ","118,673 ","119,333 ","121,081 ","123,380 ","127,543 ","129,653 ","131,363 ","134,122 ","137,095 ","140,178 ","139,261 ","139,012 ","138,760 ","136,745 ","137,297 ","131,433 ","128,753 ","131,368 ","129,723 ","129,258 ","134,469 ","137,055 ","138,030 ","151,126 ","168,620 ","180,311 ","175,740 ","174,330 ","175,226 ","174,598 "
Provision for loan and lease losses,"2,142 ","3,566 ","3,367 ","4,889 ","3,019 ","4,368 ","4,366 ","6,289 ","4,728 ","5,546 ","5,254 ","7,172 ","5,502 ","23,784 ","6,278 ","12,126 ","8,434 ","8,857 ","6,919 ","9,811 ","4,983 ","6,420 ","15,393 ","16,306 ","7,451 ","8,518 ","11,181 ","14,838 ","8,641 ","10,202 ","10,815 ","12,650 ","8,549 ","7,649 ","8,196 ","7,942 ","5,680 ","5,672 ","5,013 ","5,067 ","3,480 ","3,555 ","3,052 ","3,598 ","3,208 ","3,438 ","3,755 ","4,533 ","4,153 ","4,832 ","4,641 ","5,458 ","4,910 ","5,681 ","5,678 ","6,220 ","5,318 ","5,619 ","7,087 ","6,244 ","5,829 ","5,366 ","5,733 ","6,544 ","6,268 ","7,757 ","7,313 ","10,772 ","8,620 ","9,555 ","12,465 ","16,152 ","12,262 ","12,011 ","13,526 ","13,765 ","10,294 ","9,983 ","8,329 ","8,826 ","7,560 ","7,347 ","7,404 ","7,717 ","6,190 ","6,625 ","8,921 ","8,776 ","5,946 ","6,477 ","7,508 ","9,857 ","9,210 ","11,289 ","16,796 ","32,277 ","37,219 ","50,355 ","50,143 ","70,112 ","61,444 ","67,374 ","62,893 ","63,043 ","51,577 ","40,363 ","35,052 ","32,657 ","20,905 ","19,198 ","18,601 ","20,094 ","14,190 ","14,088 ","14,639 ","15,137 ","10,897 ","8,481 ","5,797 ","7,322 ","7,595 ","6,735 ","7,238 ","8,277 ","8,365 ","8,158 ","8,505 ","12,204 ","12,554 ","11,763 ","11,408 ","12,462 ","12,041 ","12,003 ","13,575 ","13,631 ","12,410 ","11,725 ","11,863 ","14,062 ","13,879 ","12,857 ","13,877 ","14,928 ","52,695 ","62,200 ","14,460 ","3,219 ","(14,520)","(10,780)","(5,226)",(732),"5,213 ","11,078 ","14,655 ","20,803 ","20,739 ","21,455 ","19,510 ","24,676 "
Total noninterest income,"8,303 ","9,264 ","9,101 ","11,809 ","9,466 ","10,494 ","11,318 ","12,014 ","11,374 ","12,031 ","12,614 ","13,263 ","12,245 ","13,110 ","13,175 ","14,759 ","13,185 ","13,751 ","14,018 ","14,130 ","14,364 ","15,724 ","15,248 ","17,966 ","15,525 ","16,019 ","15,726 ","16,110 ","16,658 ","16,645 ","16,958 ","18,168 ","17,729 ","18,486 ","18,675 ","18,652 ","19,356 ","22,444 ","20,763 ","22,017 ","19,769 ","20,195 ","21,450 ","21,673 ","20,710 ","21,860 ","24,099 ","23,421 ","24,105 ","26,140 ","24,796 ","26,717 ","26,426 ","27,121 ","29,229 ","29,197 ","30,982 ","32,589 ","32,747 ","37,373 ","37,070 ","36,973 ","39,466 ","41,926 ","41,187 ","38,582 ","42,402 ","43,513 ","43,179 ","42,417 ","41,857 ","44,294 ","44,794 ","45,549 ","46,149 ","47,075 ","48,095 ","49,750 ","51,304 ","54,310 ","51,958 ","53,621 ","51,069 ","55,977 ","55,385 ","54,405 ","58,704 ","56,898 ","61,122 ","62,412 ","62,545 ","55,931 ","62,276 ","68,231 ","59,126 ","46,988 ","60,552 ","60,992 ","58,894 ","41,545 ","68,407 ","68,220 ","62,654 ","61,417 ","60,867 ","59,521 ","56,260 ","59,255 ","58,367 ","58,207 ","59,500 ","54,613 ","61,420 ","60,169 ","63,735 ","64,057 ","66,679 ","67,086 ","58,912 ","60,136 ","59,893 ","63,832 ","64,572 ","60,005 ","62,624 ","65,207 ","63,294 ","62,926 ","60,425 ","66,130 ","64,859 ","62,845 ","62,484 ","66,705 ","64,217 ","62,721 ","67,362 ","67,997 ","66,627 ","64,401 ","65,407 ","66,231 ","69,452 ","66,020 ","66,933 ","70,766 ","72,602 ","70,285 ","76,794 ","75,764 ","75,985 ","72,600 ","76,652 ","76,883 ","76,788 ","62,940 ","85,968 ","78,183 ","74,090 ","67,602 "
  Fiduciary activities,"1,114 ","1,125 ","1,109 ","1,172 ","1,215 ","1,258 ","1,271 ","1,376 ","1,416 ","1,489 ","1,482 ","1,603 ","1,637 ","1,661 ","1,691 ","1,823 ","1,777 ","1,788 ","1,753 ","1,830 ","1,911 ","1,985 ","2,006 ","2,262 ","2,118 ","2,157 ","2,089 ","2,135 ","2,225 ","2,309 ","2,273 ","2,360 ","2,502 ","2,558 ","2,538 ","2,548 ","2,639 ","2,720 ","2,754 ","2,881 ","2,905 ","2,901 ","3,107 ","2,946 ","2,943 ","3,034 ","3,217 ","3,279 ","3,300 ","3,429 ","3,422 ","3,662 ","3,750 ","3,941 ","4,262 ","4,244 ","4,373 ","4,642 ","4,622 ","4,935 ","4,792 ","5,104 ","5,154 ","4,728 ","5,503 ","5,401 ","5,359 ","5,052 ","5,329 ","5,276 ","4,952 ","5,426 ","5,207 ","5,399 ","5,131 ","4,727 ","4,916 ","5,196 ","5,280 ","5,494 ","5,748 ","5,691 ","5,638 ","6,039 ","5,925 ","5,936 ","6,053 ","6,123 ","6,273 ","6,495 ","6,227 ","6,406 ","6,833 ","7,562 ","7,465 ","7,777 ","7,691 ","8,082 ","7,177 ","6,519 ","5,786 ","6,267 ","6,115 ","6,414 ","6,093 ","6,366 ","6,390 ","6,721 ","6,641 ","6,979 ","7,014 ","6,497 ","7,046 ","7,284 ","7,227 ","7,109 ","7,466 ","7,840 ","7,673 ","8,031 ","7,993 ","8,080 ","8,265 ","8,225 ","8,195 ","8,465 ","8,267 ","8,052 ","8,068 ","8,368 ","8,512 ","8,490 ","8,606 ","8,927 ","9,124 ","9,271 ","9,499 ","9,489 ","9,384 ","9,162 ","8,987 ","9,343 ","9,352 ","9,410 ","9,383 ","9,461 ","9,758 ","9,959 ","10,340 ","10,699 ","10,803 ","10,808 ","10,642 ","10,615 ","10,059 ","10,018 ","10,050 ","10,452 ","10,163 ","10,321 "
  Service charges on deposit accounts,"1,561 ","1,698 ","1,648 ","1,970 ","1,806 ","1,881 ","1,934 ","2,028 ","1,957 ","1,998 ","2,070 ","2,135 ","2,123 ","2,177 ","2,284 ","2,334 ","2,348 ","2,430 ","2,472 ","2,487 ","2,478 ","2,570 ","2,647 ","2,865 ","2,796 ","2,873 ","2,948 ","3,100 ","3,125 ","3,253 ","3,345 ","3,468 ","3,512 ","3,518 ","3,690 ","3,779 ","3,699 ","3,847 ","3,912 ","3,983 ","3,830 ","3,924 ","4,025 ","3,984 ","3,987 ","4,095 ","4,215 ","4,258 ","4,242 ","4,365 ","4,483 ","4,494 ","4,499 ","4,700 ","4,840 ","5,028 ","4,826 ","5,050 ","5,181 ","5,321 ","5,192 ","5,517 ","5,680 ","5,796 ","5,705 ","5,996 ","6,116 ","6,663 ","6,338 ","6,945 ","6,910 ","7,411 ","7,223 ","7,671 ","7,836 ","7,981 ","7,791 ","8,151 ","8,419 ","8,424 ","8,268 ","8,744 ","8,861 ","8,601 ","8,011 ","8,677 ","9,126 ","8,836 ","8,627 ","9,288 ","9,493 ","9,380 ","9,191 ","9,966 ","10,229 ","10,485 ","10,053 ","10,820 ","11,129 ","10,385 ","9,953 ","10,554 ","10,960 ","10,324 ","9,553 ","9,795 ","8,776 ","8,185 ","8,146 ","8,539 ","8,852 ","8,674 ","8,259 ","8,452 ","8,632 ","8,542 ","8,203 ","8,388 ","8,689 ","8,555 ","8,093 ","8,454 ","9,039 ","8,595 ","8,199 ","8,660 ","8,957 ","8,863 ","8,632 ","8,792 ","9,294 ","9,135 ","8,886 ","9,091 ","9,164 ","9,062 ","8,781 ","8,892 ","9,085 ","9,058 ","8,540 ","8,962 ","9,281 ","9,269 ","8,970 ","6,887 ","8,016 ","8,384 ","8,030 ","8,356 ","8,850 ","8,881 ","8,776 ","8,700 ","8,168 ","7,609 ","7,410 ","7,592 ","7,613 ","7,689 "
  Trading account gains and fees,389 ,224 ,370 ,539 ,324 ,530 ,876 ,659 ,903 ,625 ,694 ,636 ,828 ,671 ,589 ,"1,464 ","1,146 ",965 ,815 ,765 ,712 ,"1,474 ",818 ,"1,051 ",836 ,"1,361 ","1,344 ","1,294 ","1,790 ","1,421 ","1,545 ","1,210 ","1,502 ","1,351 ","1,945 ","1,500 ","2,060 ","2,292 ","2,357 ","2,557 ","1,495 ","1,540 ","1,857 ","1,328 ","1,020 ","1,692 ","1,956 ","1,569 ","1,981 ","1,924 ","1,748 ","1,871 ","2,385 ","1,961 ","2,491 ","1,197 ","2,651 ","2,491 ",559 ,"1,973 ","3,601 ","2,148 ","2,183 ","2,469 ","3,832 ","2,951 ","2,745 ","2,627 ","3,990 ","2,744 ","3,506 ","2,303 ","3,095 ","3,231 ","2,310 ","2,066 ","3,065 ","3,268 ","2,853 ","2,583 ","3,800 ","2,701 ","1,437 ","2,626 ","4,272 ","2,435 ","4,448 ","2,821 ","5,641 ","4,735 ","4,636 ","4,035 ","7,125 ","6,224 ","2,178 ","(11,186)","2,031 ",965 ,"5,339 ","(9,781)","10,108 ","5,600 ","6,363 ","2,867 ","8,582 ","7,066 ","4,441 ","3,453 ","7,835 ","6,722 ","8,612 ","2,497 ","6,370 ","2,155 ","5,092 ","4,798 ","7,529 ","7,140 ","4,540 ","2,932 ","6,193 ","6,429 ","5,613 ","4,471 ","7,673 ","5,516 ","5,322 ","4,289 ","5,655 ","7,069 ","6,426 ","6,016 ","8,043 ","6,991 ","6,945 ","5,841 ","7,694 ","7,538 ","7,193 ","4,194 ","10,220 ","8,363 ","7,509 ","7,288 ","7,101 ","13,963 ","7,158 ","6,487 ","11,057 ","8,012 ","7,123 ","7,279 ","10,765 ","10,271 ","12,883 ","9,874 ","17,710 ","13,762 ","13,239 ","11,745 "
    Interest rate exposures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,244 ,923 ,964 ,882 ,"1,158 ",960 ,999 ,992 ,"1,348 ",945 ,"1,181 ",540 ,"1,076 ",947 ,(241),696 ,"1,433 ",793 ,816 ,772 ,"1,723 ",995 ,"1,138 ","1,046 ","1,877 ","1,363 ","1,568 ","1,118 ","1,527 ","1,227 ","1,360 ",965 ,"1,158 ","1,489 ","1,116 ",967 ,"1,518 ",133 ,(415),"1,212 ","1,647 ",328 ,"1,642 ",885 ,"1,259 ","1,671 ",559 ,"1,163 ","2,310 ","3,068 ","1,636 ","(2,520)","2,211 ","1,867 ",(105),"(5,217)","9,289 ",942 ,"3,576 ",728 ,307 ,76 ,"4,163 ","1,481 ","4,857 ","3,619 ","2,097 ",260 ,"5,632 ","2,875 ","4,461 ","4,524 ","2,247 ","2,267 ","3,003 ",360 ,"2,016 ","2,883 ",(818),664 ,958 ,"3,406 ","2,580 ",156 ,"3,027 ","1,976 ","2,922 ","(1,545)","3,917 ","4,586 ","3,011 ","2,220 ","2,317 ",587 ,"2,020 ","2,305 ","4,078 ","2,780 ","1,567 ","4,361 ","4,942 ","4,634 ","2,821 ","3,616 ",(42),"3,369 ",(329),273 ,403 ,874 ,"(1,197)","4,653 ","5,721 ","3,471 ",630 ,"6,016 "
    Foreign exchange exposures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,615 ,521 ,766 ,593 ,629 ,735 ,515 ,809 ,691 ,892 ,"1,070 ","1,268 ","1,353 ","1,393 ","1,212 ","1,199 ","1,624 ","1,079 ","1,068 ","1,004 ","1,314 ","1,268 ","1,093 ","1,204 ","1,287 ",809 ,"1,546 ",707 ,"1,117 ","1,425 ","1,049 ","1,139 ","1,359 ","1,489 ","1,411 ","1,158 ","1,371 ","1,569 ","1,162 ","1,273 ","1,700 ","1,283 ","1,454 ","1,766 ","2,311 ","2,672 ","1,355 ","1,613 ","1,919 ","1,266 ","1,936 ","1,880 ","2,145 ","2,379 ","2,915 ","3,424 ","2,437 ","2,132 ",355 ,672 ,"3,962 ","4,274 ","(1,069)","1,903 ",35 ,491 ,"2,595 ","2,235 ","1,505 ","1,990 ","1,020 ",753 ,"3,185 ","3,303 ",588 ,"1,550 ","2,137 ","2,026 ","4,830 ","2,902 ","4,703 ",855 ,"1,931 ","3,401 ","1,424 ","3,719 ","2,294 ","5,941 ","1,743 ",697 ,"1,608 ","1,811 ","2,861 ","4,569 ","3,149 ","1,971 ","2,254 ","2,900 ","2,718 ",662 ,"2,167 ","3,841 ","1,942 ",18 ,"6,343 ","1,546 ","3,998 ","3,747 ","6,341 ","6,363 ","8,153 ","1,134 ","4,439 ","5,174 ","8,036 ","2,334 "
