Quarterly Income and Expense of FDIC-Insured Commercial Banks and Savings Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Equity security and index exposures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95 ,143 ,210 ,71 ,132 ,138 ,94 ,30 ,246 ,8 ,108 ,(305),150 ,112 ,(72),95 ,290 ,266 ,201 ,463 ,626 ,520 ,473 ,321 ,705 ,408 ,333 ,434 ,417 ,484 ,(175),(63),486 ,351 ,254 ,260 ,850 ,498 ,486 ,351 ,889 ,132 ,"1,245 ",846 ,"1,805 ",103 ,"1,831 ","1,217 ","1,763 ","1,024 ",(100),209 ,302 ,367 ,503 ,"(1,060)",852 ,(85),158 ,147 ,980 ,413 ,407 ,302 ,763 ,808 ,"1,440 ",(111),261 ,"1,140 ",509 ,187 ,840 ,924 ,234 ,493 ,613 ,727 ,652 ,649 ,797 ,586 ,47 ,743 ,667 ,867 ,735 ,682 ,"1,596 ","1,359 ","1,455 ","1,649 ","1,624 ","1,727 ","1,444 ",(43),"2,895 ","2,464 ","1,805 ","1,427 ","(1,043)","3,141 ",751 ,"2,481 ","2,389 ","2,385 ","1,729 ","3,536 ","1,457 ",771 ,"3,305 ","3,101 ","5,335 ","3,997 ","2,262 ","3,603 "
    Commodity and other exposures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41 ,45 ,7 ,24 ,60 ,96 ,137 ,41 ,97 ,116 ,126 ,(319),125 ,98 ,(222),64 ,245 ,41 ,74 ,235 ,169 ,182 ,78 ,83 ,71 ,116 ,80 ,(35),24 ,167 ,84 ,30 ,55 ,(117),78 ,40 ,89 ,405 ,24 ,(307),212 ,166 ,507 ,(292),313 ,273 ,789 ,(111),187 ,25 ,(3),87 ,261 ,602 ,342 ,338 ,352 ,273 ,446 ,389 ,297 ,(25),94 ,258 ,319 ,307 ,558 ,259 ,412 ,390 ,350 ,30 ,364 ,292 ,481 ,265 ,672 ,293 ,411 ,335 ,587 ,129 ,402 ,198 ,271 ,161 ,353 ,296 ,330 ,211 ,300 ,324 ,395 ,286 ,349 ,274 ,323 ,(43),"1,109 ",600 ,646 ,905 ,"1,226 ",434 ,622 ,549 ,531 ,347 ,"1,161 ","1,029 ",774 ,"1,153 ","1,570 ",824 ,942 ,773 
    Credit exposures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,859 ,913 ,(799),"(10,237)","(4,462)","(3,345)","2,139 ","(7,581)","(2,696)","2,130 ","1,212 ",15 ,"2,727 ","1,937 ",565 ,(472),"1,699 ","1,406 ","1,764 ",(102),"(1,444)","(4,243)","(1,242)",(713),890 ,339 ,223 ,245 ,756 ,500 ,535 ,(79),624 ,530 ,357 ,(222),264 ,343 ,119 ,633 ,447 ,128 ,566 ,(178),487 ,215 ,141 ,(476),485 ,30 ,43 ,34 ,(34),"1,129 ",154 ,(243),"1,300 ",150 ,967 ,(737),"1,235 ","1,334 ","1,678 ",(368),516 ,204 ,"1,342 ","(1,077)"
"  Investment banking, advisory, brokerage and underwriting fees and commissions",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,224 ","2,315 ","2,404 ","2,243 ","2,336 ","2,420 ","2,105 ","2,483 ","2,312 ","2,598 ","2,592 ","2,890 ","2,539 ","2,469 ","2,416 ","2,864 ","2,497 ","2,567 ","2,410 ","2,522 ","2,905 ","3,092 ","3,035 ","3,023 ","3,243 ","3,779 ","3,179 ","3,202 ","3,118 ","3,333 ","3,027 ","2,658 ","2,751 ","3,060 ","2,950 ","2,429 ","2,287 ","2,158 ","2,440 ","2,634 ","2,605 ","2,448 ","1,946 ","2,064 ","2,245 ","1,965 ","2,246 ","2,758 ","2,496 ","2,547 ","2,286 ","2,618 ","2,477 ","2,672 ","2,519 ","2,772 ","2,332 ","2,366 ","2,658 ","2,376 ","2,400 ","2,762 ","2,906 ","2,881 ","3,143 ","3,225 ","2,756 ","2,938 ","2,656 ","2,858 ","2,635 ","2,776 ","2,536 ","2,737 ","2,764 ","2,808 ","2,791 ","2,695 ","2,621 ","2,902 ","3,222 ","3,550 ","4,456 ","4,065 ","3,367 ","3,516 ","3,270 ","3,084 ","3,131 ","2,880 ","3,054 ","2,722 "
  Venture capital revenue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,139 ,41 ,(714),(205),37 ,(92),(464),29 ,(59),160 ,(106),53 ,51 ,39 ,67 ,121 ,199 ,56 ,273 ,202 ,51 ,100 ,25 ,86 ,68 ,28 ,31 ,41 ,(6),20 ,81 ,1 ,7 ,(71),(35),(35),12 ,6 ,29 ,55 ,10 ,8 ,28 ,20 ,18 ,26 ,7 ,16 ,(12),11 ,58 ,(40),14 ,9 ,9 ,28 ,53 ,6 ,25 ,1 ,106 ,15 ,12 ,(15),4 ,(2),3 ,(7),5 ,15 ,6 ,34 ,20 ,5 ,30 ,42 ,(25),45 ,69 ,85 ,26 ,120 ,22 ,63 ,14 ,21 ,21 ,32 ,5 ,22 ,14 ,(10)
  Net servicing fees,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,918 ","3,253 ","2,567 ","1,920 ","3,795 ","1,984 ",(242),"1,910 ","2,339 ","1,233 ","4,393 ","5,423 ","3,180 ","4,927 ","3,610 ","4,248 ","4,989 ","2,864 ","5,038 ","4,413 ","4,693 ","4,262 ","3,381 ","2,167 ","3,600 ","5,330 ","3,635 ","2,719 ","3,532 ","7,280 ","4,442 ",452 ,"5,946 ","10,845 ","5,995 ","6,873 ","5,164 ","3,575 ","2,962 ","4,792 ","4,338 ","2,446 ","(2,958)","3,409 ","4,713 ","1,985 ","2,802 ","1,843 ","4,218 ","5,827 ","3,182 ","4,627 ","2,142 ","2,773 ","2,886 ","1,197 ","1,600 ","4,546 ","1,040 ","3,328 ",826 ,"1,116 ","2,594 ","4,996 ","2,829 ","2,167 ","2,306 ","2,354 ","3,624 ","2,774 ","2,698 ","1,462 ","1,524 ",(304),300 ,"2,204 ","(1,757)",(246),"1,364 ","1,029 ","3,434 ",204 ,"1,755 ","1,625 ","4,523 ","3,489 ","3,224 ","1,412 ","1,755 ","2,391 ","3,164 ",769 
  Net securitization income,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,543 ","3,733 ","4,266 ","4,743 ","4,586 ","4,661 ","5,675 ","4,630 ","4,791 ","5,038 ","6,039 ","5,946 ","5,360 ","5,599 ","6,185 ","6,694 ","5,639 ","5,864 ","5,917 ","5,385 ","6,705 ","6,225 ","6,832 ","2,409 ","4,964 ","5,355 ","5,812 ","5,008 ","5,541 ","4,206 ","3,120 ","2,393 ","2,124 ",(142),"1,163 ","1,615 ",13 ,156 ,165 ,148 ,99 ,138 ,179 ,237 ,277 ,246 ,509 ,430 ,394 ,273 ,352 ,378 ,285 ,318 ,385 ,340 ,298 ,325 ,348 ,250 ,203 ,181 ,287 ,228 ,363 ,472 ,395 ,131 ,151 ,(49),64 ,65 ,79 ,72 ,65 ,138 ,37 ,39 ,92 ,77 ,106 ,142 ,110 ,150 ,(10),(2),(11),38 ,29 ,30 ,57 ,54 
  Insurance commission fees and income,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,725 ,700 ,771 ,814 ,863 ,925 ,870 ,854 ,877 ,857 ,908 ,967 ,"1,036 ","1,054 ","1,148 ","1,178 ","1,090 ","1,205 ","1,108 ","1,189 ","1,062 ","1,154 ","1,181 ","1,085 ","1,313 ","1,352 ","1,399 ","1,421 ","1,470 ","1,449 ","1,014 ","1,167 ","1,197 ","1,244 ","1,232 ","1,049 ","1,124 ","1,146 ",505 ,"1,023 ","1,126 ","1,081 ","1,081 ","1,036 ",915 ,"1,193 ",841 ,859 ,"1,152 ","1,099 ","1,036 ",965 ,"1,065 ","1,039 ",804 ,"1,097 ","1,187 ","1,157 ",822 ,"1,114 ","1,187 ","1,193 ","1,126 ",975 ,"1,203 ","1,173 ","1,085 ","1,083 ","1,139 ","1,167 ","1,134 ","1,146 ","1,216 ","1,267 ","1,114 ","1,153 ","1,217 ","1,174 ","1,159 ","1,161 ","1,286 ","1,320 ","1,273 ","1,281 ","1,364 ","1,473 ","1,400 ","1,408 ","1,509 ","1,586 ","1,363 ","1,282 "
  Net gains (losses) on sales of loans,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,107 ","1,351 ","1,297 ","1,810 ","1,958 ","1,307 ","2,111 ","3,099 ","3,251 ","3,973 ","5,536 ","1,702 ","2,162 ","2,310 ","1,955 ","2,293 ","1,673 ","1,851 ","1,434 ","1,878 ","1,507 ","1,938 ","2,255 ","2,143 ","2,021 ","2,141 ","(1,182)",(611),"(1,272)",787 ,171 ,"(1,262)","2,583 ","2,788 ","2,835 ","2,347 ","1,472 ","2,128 ","3,897 ","3,668 ","1,743 ","1,216 ","1,709 ","1,804 ","4,049 ","4,225 ","5,600 ","1,439 ","4,126 ","4,438 ","2,606 ","2,234 ","2,291 ","3,023 ","3,796 ","2,887 ","3,377 ","3,732 ","3,392 ","2,899 ","3,149 ","4,459 ","4,268 ","3,541 ","2,777 ","3,506 ","3,127 ","2,724 ","2,886 ","3,871 ","3,245 ","2,652 ","2,647 ","3,691 ","4,330 ","3,784 ","3,312 ","7,770 ","8,470 ","7,720 ","7,755 ","6,419 ","5,687 ","4,667 ","2,661 ",307 ,646 ,487 ,995 ,"1,649 ",362 ,"1,176 "
  Net gains (losses) on sales of other real estate owned,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13 ,21 ,7 ,56 ,6 ,20 ,(41),(30),(4),(20),(18),13 ,37 ,7 ,48 ,11 ,37 ,47 ,37 ,39 ,56 ,45 ,25 ,(14),3 ,(44),(88),(289),(311),(454),(613),(809),(867),"(1,077)","(1,203)","(1,470)",(926),"(1,214)","(1,189)","(1,513)","(1,000)",(976),"(1,141)","(1,632)",(755),(863),(218),(520),(158),(10),(45),(173),(25),(6),(140),(146),(47),66 ,(9),179 ,19 ,41 ,142 ,(41),4 ,5 ,(45),(70),10 ,(12),(57),(55),17 ,(6),39 ,(47),(10),(42),(4),24 ,58 ,62 ,44 ,83 ,98 ,176 ,38 ,27 ,40 ,57 ,40 ,16 
  Net gains (losses) on sales of other assets (except securities),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,119 ",634 ,609 ,191 ,(84),212 ,564 ,519 ,336 ,648 ,(255),338 ,274 ,"1,498 ",382 ,239 ,236 ,442 ,565 ,668 ,351 ,621 ,911 ,"1,117 ",523 ,919 ,"1,350 ","2,051 ","2,444 ",15 ,278 ,(199),800 ,"3,185 ",198 ,403 ,(110),(71),798 ,493 ,126 ,506 ,83 ,49 ,129 ,(445),257 ,291 ,(18),155 ,286 ,"1,872 ",264 ,499 ,648 ,331 ,270 ,324 ,477 ,967 ,277 ,444 ,229 ,266 ,149 ,7 ,307 ,327 ,272 ,395 ,264 ,721 ,405 ,342 ,516 ,"(1,534)",78 ,251 ,85 ,39 ,142 ,328 ,(62),218 ,421 ,470 ,"1,087 ",976 ,"1,396 ",388 ,865 ,244 
  Other noninterest income,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"13,484 ","12,964 ","12,768 ","15,149 ","13,350 ","14,361 ","15,986 ","15,786 ","15,374 ","14,990 ","12,740 ","17,037 ","16,984 ","15,417 ","16,010 ","17,688 ","17,545 ","18,857 ","18,561 ","18,168 ","19,262 ","20,330 ","20,671 ","20,211 ","19,618 ","21,144 ","21,637 ","22,234 ","22,059 ","20,131 ","20,545 ","27,086 ","25,122 ","23,103 ","23,278 ","26,061 ","24,835 ","25,460 ","24,031 ","26,311 ","23,942 ","26,531 ","31,216 ","26,892 ","28,154 ","33,947 ","30,739 ","36,492 ","31,282 ","29,376 ","28,251 ","28,138 ","29,100 ","30,540 ","30,749 ","30,209 ","29,487 ","30,044 ","31,994 ","30,608 ","29,904 ","31,691 ","29,061 ","26,371 ","26,478 ","31,142 ","29,050 ","29,067 ","30,646 ","31,061 ","30,976 ","33,185 ","29,216 ","31,760 ","34,155 ","31,505 ","35,836 ","28,768 ","33,815 ","32,420 ","31,338 ","36,552 ","35,924 ","33,480 ","34,031 ","37,846 ","36,002 ","27,974 ","41,938 ","37,373 ","34,156 ","31,595 "
Total noninterest expense,"21,617 ","23,794 ","22,846 ","27,957 ","25,068 ","27,015 ","27,416 ","30,410 ","29,228 ","31,435 ","31,528 ","35,932 ","30,781 ","32,653 ","32,153 ","34,546 ","32,739 ","33,056 ","33,092 ","35,222 ","33,220 ","34,556 ","35,379 ","38,024 ","35,134 ","35,658 ","36,178 ","39,101 ","36,697 ","37,525 ","38,821 ","41,274 ","38,249 ","39,490 ","39,978 ","42,035 ","41,330 ","43,281 ","41,290 ","43,366 ","40,738 ","41,677 ","42,058 ","44,604 ","42,722 ","43,052 ","42,467 ","45,046 ","46,117 ","45,021 ","49,335 ","47,662 ","46,016 ","47,025 ","49,799 ","50,395 ","51,525 ","52,385 ","53,348 ","61,964 ","55,743 ","56,920 ","56,077 ","61,325 ","58,211 ","61,597 ","60,334 ","62,728 ","62,223 ","62,740 ","63,782 ","65,990 ","63,835 ","64,623 ","65,904 ","70,590 ","67,158 ","70,185 ","70,116 ","73,532 ","73,759 ","76,966 ","75,651 ","81,127 ","77,512 ","79,810 ","80,269 ","82,134 ","84,608 ","85,039 ","85,687 ","81,057 ","87,653 ","90,934 ","90,165 ","104,489 ","90,882 ","97,706 ","93,533 ","114,722 ","109,517 ","107,779 ","92,821 ","99,587 ","95,342 ","97,723 ","97,026 ","103,603 ","102,016 ","103,659 ","100,451 ","107,612 ","106,477 ","103,408 ","104,474 ","108,494 ","102,285 ","106,430 ","106,485 ","102,722 ","102,293 ","104,918 ","108,768 ","108,505 ","103,501 ","104,578 ","105,531 ","105,473 ","104,797 ","105,159 ","107,010 ","108,697 ","109,384 ","108,487 ","109,330 ","117,944 ","115,712 ","113,432 ","113,671 ","117,773 ","115,293 ","115,095 ","120,088 ","121,778 ","128,920 ","122,341 ","123,656 ","125,772 ","124,904 ","126,097 ","128,084 ","133,450 ","133,868 ","134,830 ","138,843 ","135,912 ","141,333 ","141,901 ","140,921 ","167,559 "
  Salaries and employee benefits,"10,673 ","11,377 ","10,954 ","12,452 ","11,821 ","12,159 ","12,432 ","13,028 ","13,164 ","13,363 ","13,629 ","14,039 ","14,111 ","14,238 ","14,419 ","14,828 ","14,701 ","14,706 ","14,817 ","15,171 ","15,152 ","15,236 ","15,348 ","15,633 ","15,738 ","15,616 ","15,657 ","16,009 ","15,966 ","15,766 ","16,113 ","15,974 ","16,132 ","16,250 ","16,364 ","16,723 ","16,791 ","17,003 ","17,337 ","17,936 ","17,418 ","17,546 ","17,932 ","18,206 ","18,126 ","18,166 ","18,597 ","18,833 ","19,215 ","19,314 ","19,409 ","19,931 ","20,173 ","20,236 ","21,166 ","21,097 ","21,864 ","22,177 ","22,068 ","24,403 ","24,023 ","24,482 ","23,972 ","24,751 ","25,314 ","24,738 ","24,819 ","25,671 ","26,286 ","26,588 ","26,704 ","27,295 ","28,437 ","28,301 ","28,731 ","29,974 ","30,906 ","31,485 ","31,044 ","31,616 ","32,752 ","32,877 ","32,700 ","34,283 ","35,346 ","34,381 ","35,919 ","36,154 ","39,052 ","38,034 ","38,310 ","37,505 ","41,280 ","41,489 ","39,719 ","40,158 ","42,445 ","43,750 ","39,853 ","36,883 ","42,463 ","40,897 ","41,404 ","39,549 ","41,519 ","42,867 ","42,059 ","43,264 ","44,876 ","44,346 ","44,105 ","44,479 ","47,657 ","45,863 ","45,999 ","46,716 ","48,786 ","47,515 ","46,059 ","45,909 ","48,207 ","47,115 ","48,044 ","47,095 ","49,322 ","48,469 ","47,843 ","48,260 ","50,308 ","49,848 ","50,231 ","49,917 ","53,633 ","51,852 ","51,861 ","53,182 ","55,955 ","54,544 ","53,982 ","53,902 ","57,075 ","56,313 ","56,643 ","56,797 ","58,489 ","58,999 ","60,381 ","60,505 ","64,694 ","62,350 ","62,705 ","63,879 ","66,563 ","64,902 ","66,262 ","66,453 ","70,520 ","68,309 ","68,427 ","68,399 "
  Premises and equipment expense,"3,619 ","3,905 ","3,807 ","4,449 ","4,165 ","4,294 ","4,418 ","4,704 ","4,717 ","4,743 ","4,900 ","5,160 ","5,026 ","5,099 ","5,199 ","5,380 ","5,331 ","5,326 ","5,401 ","5,595 ","5,427 ","5,449 ","5,577 ","5,808 ","5,556 ","5,564 ","5,689 ","5,882 ","5,668 ","5,579 ","5,651 ","5,761 ","5,588 ","5,525 ","5,608 ","5,887 ","5,555 ","5,568 ","5,666 ","6,080 ","5,716 ","5,661 ","5,793 ","5,947 ","5,826 ","5,880 ","6,078 ","6,069 ","6,108 ","6,153 ","6,292 ","6,496 ","6,360 ","6,379 ","6,769 ","6,746 ","6,743 ","6,885 ","7,090 ","7,921 ","7,485 ","7,328 ","7,490 ","8,070 ","7,775 ","7,708 ","7,850 ","8,166 ","8,110 ","8,155 ","8,282 ","8,383 ","8,379 ","8,459 ","8,889 ","8,996 ","9,147 ","9,282 ","9,133 ","9,747 ","9,337 ","9,541 ","9,728 ","10,559 ","10,253 ","10,060 ","10,301 ","10,576 ","10,486 ","10,425 ","10,570 ","10,996 ","10,996 ","11,036 ","11,263 ","11,535 ","11,782 ","11,780 ","11,473 ","11,416 ","11,573 ","11,440 ","11,276 ","11,743 ","11,188 ","10,934 ","11,061 ","11,660 ","11,409 ","11,053 ","11,174 ","11,451 ","10,954 ","10,965 ","11,190 ","11,317 ","11,014 ","10,807 ","11,006 ","11,199 ","11,280 ","11,130 ","11,129 ","11,392 ","11,165 ","11,143 ","11,175 ","11,702 ","11,243 ","11,189 ","11,302 ","11,711 ","11,679 ","11,618 ","11,835 ","9,432 ","11,047 ","11,013 ","11,158 ","11,467 ","11,402 ","11,418 ","11,767 ","11,752 ","11,794 ","11,853 ","12,077 ","12,721 ","12,175 ","11,843 ","11,959 ","12,311 ","12,010 ","11,846 ","11,944 ","12,455 ","11,998 ","11,864 ","12,190 ","12,638 "
  Other noninterest expense,"7,325 ","8,480 ","8,085 ","11,010 ","9,065 ","10,546 ","10,540 ","12,634 ","11,310 ","13,293 ","12,958 ","16,687 ","11,598 ","13,268 ","12,481 ","14,291 ","12,665 ","12,981 ","12,821 ","14,403 ","12,640 ","13,871 ","14,453 ","16,584 ","13,840 ","14,479 ","14,832 ","17,209 ","15,064 ","16,180 ","17,058 ","19,539 ","16,530 ","17,716 ","18,006 ","19,425 ","18,984 ","20,710 ","18,287 ","19,350 ","17,604 ","18,470 ","18,333 ","20,451 ","18,771 ","19,005 ","17,792 ","20,144 ","20,794 ","19,553 ","23,634 ","21,240 ","19,482 ","20,410 ","21,863 ","22,552 ","22,917 ","23,322 ","24,189 ","29,641 ","24,235 ","25,110 ","24,615 ","28,505 ","25,121 ","29,152 ","27,665 ","28,891 ","25,886 ","25,825 ","26,800 ","28,114 ","25,825 ","26,536 ","26,692 ","30,299 ","25,763 ","27,978 ","28,708 ","30,720 ","30,143 ","33,180 ","31,282 ","34,149 ","30,049 ","33,367 ","32,150 ","33,450 ","32,632 ","34,506 ","34,766 ","30,965 ","33,376 ","36,270 ","36,087 ","41,307 ","33,855 ","37,701 ","37,326 ","43,020 ","36,044 ","43,261 ","35,933 ","42,749 ","40,200 ","41,071 ","41,314 ","45,080 ","43,636 ","45,842 ","43,067 ","47,205 ","46,015 ","44,623 ","45,253 ","48,175 ","40,687 ","41,893 ","47,681 ","43,447 ","41,185 ","44,785 ","46,796 ","48,482 ","41,574 ","43,274 ","44,436 ","44,056 ","41,934 ","42,800 ","44,110 ","44,924 ","42,736 ","43,723 ","44,380 ","53,695 ","47,497 ","46,666 ","47,267 ","51,135 ","45,859 ","46,390 ","48,697 ","51,724 ","49,208 ","47,923 ","49,480 ","50,992 ","46,975 ","50,915 ","52,470 ","56,299 ","54,214 ","57,120 ","59,640 ","55,669 ","56,236 ","60,159 ","58,504 ","78,921 "
